idENT_MEN;IDENT_IND;RG;DEP;DATENQ;POIDS_VOY13;poids_annuel;IDENT_VOY;V2_OLDVMH;V2_OLDDEBJ;V2_OLDFINJ;V2_OLDDEST;V2_OLDVORG;V2_OLDVDEP;V2_OLDVPAYS;V2_PAYS;V2_Continent;V2_Dom_Tom;V2_NAVETTE;V2_OLDMOTPR;V2_OLDACCOMPP;V2_OLDTALP;V2_OLDHEBERP;V2_OLDMTPP;V2_DVO_DSV;Nbdep;V2_OLDKMV;V2_DUREEV;V2_OLDNBEXC;V2_OLDNBLDMJ;V2_OLVCHXI;V2_OLVCHXIB_A;V2_OLVCHXIB_B;V2_OLVCHXIB_C;V2_OLVCHXIB_D;numcom_AUCat;numcom_zhu;numcom_UUCat;numcom_ZE;numcom_BV;numcom_Pays;numcom_Canton;numcom_EPCI;numcom_SCOT;numcom_PTU;numcom_montagne;numcom_littoral;V2_OLDVCOM_AUCat;V2_OLDVCOM_zhu;V2_OLDVCOM_UUCat;V2_OLDVCOM_ZE;V2_OLDVCOM_BV;V2_OLDVCOM_Pays;V2_OLDVCOM_Canton;V2_OLDVCOM_EPCI;V2_OLDVCOM_SCOT;V2_OLDVCOM_PTU;V2_OLDVCOM_montagne;V2_OLDVCOM_littoral;numcom_AU2010;numcom_UU2010;v2_oldvcom_AU2010;v2_oldvcom_UU2010
11013201000;1101320100001;11;78;09/07/2007;3627.8033958;14511.213583;11013201000D01;1;16/06/2007;17/06/2007;1;2;80;001;France;0;0;0;5.51;2;2;6;3.31;127;2;430;270;2;;2;0;0;0;0;Commune monopolarisée;07;banlieue;1142;78265;;78215;;314;;non montagne;non littoral;Pôle urbain;06;ville centre;2202;80021;80GDAM;80299;;320;6;non montagne;non littoral;114;B;111;C
11013501000;1101350100002;11;78;31/01/2008;2840.6918093;11362.767237;11013501000D01;3;10/01/2008;13/01/2008;1;2;14;001;France;0;0;0;7.71;3;2;;3.31;161;2;400;240;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Pôle urbain;02;banlieue;2502;14715;14AUGE;14335;241400415;187;;non montagne;communes bord de mer;114;B;111;B
11014501000;1101450100002;11;78;04/02/2008;7309.5184358;29238.073743;11014501000D01;4;26/01/2008;30/01/2008;1;2;64;001;France;0;0;0;5.52;3;2;6;7.70;691;3;2080;509;2;;1;0;0;0;1;Commune monopolarisée;07;ville isolée;1140;75056;;78101;;;;non montagne;non littoral;Espace à dominante rurale;00;commune rurale;7212;64422;64OLHB;64201;246401624;;;montagne;non littoral;114;R;400;R
11016101000;1101610100001;11;78;04/04/2008;1183.0454769;4732.1819077;11016101000D01;12;13/03/2008;25/03/2008;1;2;85;001;France;0;0;0;8.80;2;1;7;7.70;405;2;1000;840;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Espace à dominante rurale;00;ville isolée;5216;85113;;85310;;;310;non montagne;communes bord de mer;114;C;221;I
11016401000;1101640100001;11;78;07/04/2008;6511.7924634;26047.169854;11016401000D01;2;01/04/2008;03/04/2008;1;2;33;001;France;0;0;0;7.71;4;2;2;6.60;486;2;1170;630;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Pôle urbain;05;banlieue;7275;33063;;33254;243300316;246;21;non montagne;non littoral;114;C;111;B
11016401000;1101640100001;11;78;07/04/2008;3916.6036948;15666.414779;11016401000D02;2;22/03/2008;24/03/2008;1;2;59;001;France;0;0;0;5.51;1;2;6;3.31;213;2;500;360;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Pôle urbain;05;banlieue;3110;59350;;59551;245900410;1000;53;non montagne;non littoral;114;C;111;B
11016401000;1101640100001;11;78;07/04/2008;3879.6479637;15518.591855;11016401000D03;0;18/03/2008;18/03/2008;1;2;45;001;France;0;0;0;7.71;4;2;0;3.30;107;2;230;150;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Pôle urbain;02;ville centre;2462;45208;;45119;244500203;;182;non montagne;non littoral;114;C;111;C
11016501000;1101650100001;11;78;03/04/2008;4585.5839316;18342.335726;11016501000D01;9;07/03/2008;16/03/2008;1;2;63;001;France;0;0;0;8.81;4;2;3;3.30;368;2;890;600;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Espace à dominante rurale;00;commune rurale;8324;63236;63GDSA;63235;246300966;;;montagne;non littoral;114;C;400;R
11016901000;1101690100002;11;78;07/03/2008;7138.31871;28553.27484;11016901000D01;15;01/02/2008;16/02/2008;2;2;29;001;France;0;0;0;8.80;1;2;5;3.33;475;3;1220;;2;;1;1;0;1;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Pôle urbain;02;ville isolée;5332;29046;29CORA;29413;242900645;43;242;non montagne;communes bord de mer;114;C;211;I
11017201000;1101720100001;11;78;02/04/2008;972.57091;3890.28364;11017201000D01;10;19/03/2008;29/03/2008;1;2;44;001;France;0;0;0;8.81;1;2;3;6.60;374;2;800;440;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78455;;78322;;3042;;non montagne;non littoral;Pôle urbain;05;banlieue;5202;44184;;44310;244400610;951;286;non montagne;communes bord de mer;114;C;111;B
