NOM_COM,INSEE_COM,POPULATION,surface,r,distance_interne,x,y
Saint-Nizier-le-Bouchoux,1380,683,28.185,1.690,1.530,864,6595
Montbellet,71305,803,19.406,1.402,1.269,842,6601
Arbigny,1016,462,17.555,1.334,1.208,848,6602
Bourgvilain,71050,326,11.851,1.096,0.992,824,6587
Bergesserin,71030,205,7.263,0.858,0.777,821,6588
Béréziat,1040,494,11.274,1.069,0.968,856,6589
Chiddes,71128,95,7.611,0.878,0.795,813,6597
Burgy,71066,119,2.896,0.542,0.491,841,6597
Péronne,71345,653,10.605,1.037,0.939,837,6595
Dompierre-les-Ormes,71178,916,30.258,1.751,1.585,812,6588
Azé,71016,1027,15.066,1.236,1.119,833,6597
Senozan,71513,1121,4.919,0.706,0.639,845,6591
Verosvres,71571,448,23.114,1.530,1.385,808,6587
Pressy-sous-Dondin,71358,97,12.389,1.120,1.014,818,6599
Jalogny,71240,354,10.220,1.018,0.922,825,6594
Sologny,71525,599,10.683,1.040,0.942,829,6584
Curbigny,71160,317,9.609,0.987,0.894,800,6578
Vescours,1437,250,12.547,1.128,1.021,854,6602
Mantenay-Montlin,1230,310,10.883,1.050,0.951,863,6596
Ozan,1284,674,6.586,0.817,0.740,849,6590
Berzé-le-Châtel,71031,59,5.604,0.754,0.683,830,6589
Ouroux-sous-le-Bois-Sainte-Marie,71335,67,4.793,0.697,0.631,802,6586
Neufchâtel-en-Bray,76462,4722,10.989,1.055,0.955,590,6962
Viré,71584,1161,11.257,1.068,0.967,840,6596
Pusignan,69285,4063,13.215,1.157,1.048,863,6521
Bois-de-Gand,39060,56,3.304,0.579,0.524,890,6639
Niévroz,1276,1577,10.435,1.028,0.931,862,6526
Toussieu,69298,2959,5.075,0.717,0.649,854,6510
Faramans,1156,801,11.232,1.067,0.966,867,6536
Bouilland,21092,210,16.790,1.304,1.181,834,6669
Meyzieu,69282,32996,23.452,1.541,1.395,854,6525
Birieux,1045,285,15.779,1.264,1.144,856,6539
Bressolles,1062,891,7.661,0.881,0.798,861,6531
Beynost,1043,4557,10.691,1.041,0.943,855,6525
Balan,1027,2856,17.997,1.350,1.222,863,6526
Pizay,1297,796,11.226,1.067,0.966,864,6534
Béligneux,1032,3314,13.359,1.163,1.053,866,6529
Janneyrias,38197,1796,10.720,1.042,0.943,866,6517
Dagneux,1142,4706,6.836,0.832,0.753,860,6529
Bourg-Saint-Christophe,1054,1325,9.000,0.955,0.865,864,6534
La Boisse,1049,3021,9.430,0.977,0.885,855,6531
Lapeyrouse,1207,324,20.200,1.431,1.296,851,6546
Saint-Pierre-de-Chandieu,69289,4521,29.326,1.724,1.561,859,6504
Grenay,38184,1596,6.738,0.826,0.748,863,6511
Dolomieu,38148,3123,13.403,1.165,1.055,896,6505
Satolas-et-Bonce,38475,2404,16.794,1.304,1.181,863,6510
Cornillé,35087,967,12.603,1.130,1.023,378,6788
Genas,69277,12624,24.152,1.564,1.416,860,6517
Salagnon,38467,1404,8.289,0.916,0.829,881,6510
Anthon,38011,1049,9.078,0.959,0.868,867,6525
Ruy-Montceau,38348,4471,21.065,1.461,1.323,885,6503
Saint-Bonnet-de-Mure,69287,6827,16.616,1.298,1.175,860,6514
Saint-Chef,38374,3618,27.553,1.671,1.513,879,6509
Le Plantay,1299,553,20.775,1.451,1.314,864,6549
Versailleux,1434,421,19.360,1.401,1.268,860,6543
Saint-Maurice-de-Beynost,1376,3965,6.953,0.839,0.760,855,6525
Guéreins,1183,1435,4.478,0.674,0.610,837,6558
Saint-Laurent-de-Mure,69288,5380,18.826,1.381,1.250,864,6513
Villette-d'Anthon,38557,4881,22.861,1.522,1.378,863,6526
Charvieu-Chavagneux,38085,9292,8.501,0.928,0.840,867,6520
Saint-Jean-sur-Vilaine,35283,1245,10.791,1.046,0.947,380,6788
Joyeux,1198,274,16.602,1.297,1.174,865,6543
Châteauvieux-les-Fossés,25130,13,4.497,0.675,0.611,943,6668
Colombier-Saugnieu,69299,2602,27.848,1.680,1.521,868,6514
Le Montellier,1260,293,15.334,1.246,1.128,863,6538
Corps-Nuds,35088,3256,22.912,1.524,1.380,359,6772
Saint-Éloi,1349,453,14.121,1.196,1.083,867,6537
Hottot-les-Bagues,14336,477,8.473,0.927,0.839,436,6901
Beuzec-Cap-Sizun,29008,1003,34.931,1.881,1.703,137,6800
Sainte-Croix,1342,566,10.680,1.040,0.942,861,6536
Frontonas,38176,2049,12.743,1.136,1.029,870,6506
