"Année,""Commune"",""Secteur économique"",""Etablissements"",""Emplois"",""Emplois femmes"",""Emplois hommes"",""Equivalents plein temps"",""Equivalents plein temps femmes"",""Equivalents plein temps hommes"""
"2021,""37 Ossingen"",""Secteur économique - total"",114,456,257,199,307,144,163"
"2021,""37 Ossingen"",""Secteur primaire"",24,66,19,47,48,9,39"
"2021,""37 Ossingen"",""Secteur secondaire"",15,45,9,36,41,6,35"
"2021,""37 Ossingen"",""Secteur tertiaire"",75,345,229,116,218,129,89"
"2021,""38 Rheinau"",""Secteur économique - total"",87,785,431,354,566,282,284"
"2021,""38 Rheinau"",""Secteur primaire"",X,29,11,18,18,6,12"
"2021,""38 Rheinau"",""Secteur secondaire"",X,46,11,35,38,6,32"
"2021,""38 Rheinau"",""Secteur tertiaire"",69,710,409,301,510,270,240"
"2021,""39 Thalheim an der Thur"",""Secteur économique - total"",74,294,128,166,190,54,136"
"2021,""39 Thalheim an der Thur"",""Secteur primaire"",16,39,X,X,20,X,X"
"2021,""39 Thalheim an der Thur"",""Secteur secondaire"",10,82,X,X,74,X,X"
"2021,""39 Thalheim an der Thur"",""Secteur tertiaire"",48,173,103,70,96,45,51"
"2021,""40 Trüllikon"",""Secteur économique - total"",95,337,157,180,218,83,135"
"2021,""40 Trüllikon"",""Secteur primaire"",29,106,41,65,66,20,47"
"2021,""40 Trüllikon"",""Secteur secondaire"",16,76,21,55,62,12,51"
"2021,""40 Trüllikon"",""Secteur tertiaire"",50,155,95,60,90,51,38"
"2021,""41 Truttikon"",""Secteur économique - total"",34,123,56,67,80,28,52"
"2021,""41 Truttikon"",""Secteur primaire"",15,44,11,33,30,6,24"
"2021,""41 Truttikon"",""Secteur secondaire"",6,34,18,16,27,12,15"
"2021,""41 Truttikon"",""Secteur tertiaire"",13,45,27,18,23,11,12"
"2021,""43 Volken"",""Secteur économique - total"",28,86,38,48,53,16,36"
"2021,""43 Volken"",""Secteur primaire"",11,34,X,X,20,X,X"
"2021,""43 Volken"",""Secteur secondaire"",4,14,X,X,11,X,X"
"2021,""43 Volken"",""Secteur tertiaire"",13,38,23,15,22,10,12"
"2021,""51 Bachenbülach"",""Secteur économique - total"",270,1730,673,1057,1414,446,968"
"2021,""51 Bachenbülach"",""Secteur primaire"",X,6,X,X,X,X,X"
"2021,""51 Bachenbülach"",""Secteur secondaire"",X,619,X,X,X,X,X"
"2021,""51 Bachenbülach"",""Secteur tertiaire"",215,1105,544,561,839,349,489"
"2021,""52 Bassersdorf"",""Secteur économique - total"",650,4507,1864,2643,3588,1234,2355"
"2021,""52 Bassersdorf"",""Secteur primaire"",11,40,X,X,29,X,X"
"2021,""52 Bassersdorf"",""Secteur secondaire"",107,954,X,X,878,X,X"
"2021,""52 Bassersdorf"",""Secteur tertiaire"",532,3513,1640,1873,2681,1065,1616"
"2021,""53 Bülach"",""Secteur économique - total"",1332,10845,6031,4814,8165,4049,4116"
"2021,""53 Bülach"",""Secteur primaire"",22,81,32,49,55,16,39"
"2021,""53 Bülach"",""Secteur secondaire"",168,2084,777,1307,1935,678,1257"
"2021,""53 Bülach"",""Secteur tertiaire"",1142,8680,5222,3458,6175,3355,2820"
"2021,""54 Dietlikon"",""Secteur économique - total"",580,5751,2291,3460,4692,1580,3111"
"2021,""54 Dietlikon"",""Secteur primaire"",5,11,X,X,8,X,X"
"2021,""54 Dietlikon"",""Secteur secondaire"",101,1398,X,X,1298,X,X"
"2021,""54 Dietlikon"",""Secteur tertiaire"",474,4342,2078,2264,3386,1426,1960"
"2021,""55 Eglisau"",""Secteur économique - total"",302,1325,669,656,950,396,555"
"2021,""55 Eglisau"",""Secteur primaire"",25,82,29,53,50,14,36"
"2021,""55 Eglisau"",""Secteur secondaire"",43,334,75,259,294,46,247"
"2021,""55 Eglisau"",""Secteur tertiaire"",234,909,565,344,607,336,271"
"2021,""56 Embrach"",""Secteur économique - total"",498,3748,1780,1968,2964,1199,1765"
"2021,""56 Embrach"",""Secteur primaire"",24,60,20,40,39,11,29"
"2021,""56 Embrach"",""Secteur secondaire"",73,766,169,597,703,127,575"
"2021,""56 Embrach"",""Secteur tertiaire"",401,2922,1591,1331,2222,1061,1161"
"2021,""57 Freienstein-Teufen"",""Secteur économique - total"",165,762,335,427,544,190,354"
"2021,""57 Freienstein-Teufen"",""Secteur primaire"",27,76,31,45,48,18,30"
"2021,""57 Freienstein-Teufen"",""Secteur secondaire"",20,104,22,82,92,15,76"
"2021,""57 Freienstein-Teufen"",""Secteur tertiaire"",118,582,282,300,404,157,248"
"2021,""58 Glattfelden"",""Secteur économique - total"",241,1066,458,608,796,269,527"
"2021,""58 Glattfelden"",""Secteur primaire"",14,38,14,24,23,7,16"
"2021,""58 Glattfelden"",""Secteur secondaire"",55,243,43,200,204,20,184"
"2021,""58 Glattfelden"",""Secteur tertiaire"",172,785,401,384,568,242,327"
"2021,""59 Hochfelden"",""Secteur économique - total"",79,403,117,286,329,66,263"
"2021,""59 Hochfelden"",""Secteur primaire"",9,25,11,14,15,5,10"
"2021,""59 Hochfelden"",""Secteur secondaire"",16,217,11,206,207,7,200"
"2021,""59 Hochfelden"",""Secteur tertiaire"",54,161,95,66,107,54,53"
"2021,""60 Höri"",""Secteur économique - total"",237,1248,334,914,1037,216,821"
"2021,""60 Höri"",""Secteur primaire"",12,32,10,22,19,4,15"
"2021,""60 Höri"",""Secteur secondaire"",60,618,100,518,565,67,497"
"2021,""60 Höri"",""Secteur tertiaire"",165,598,224,374,453,144,309"
"2021,""61 Hüntwangen"",""Secteur économique - total"",94,362,171,191,268,96,171"
"2021,""61 Hüntwangen"",""Secteur primaire"",14,30,13,17,15,5,10"
"2021,""61 Hüntwangen"",""Secteur secondaire"",15,132,22,110,123,16,107"
"2021,""61 Hüntwangen"",""Secteur tertiaire"",65,200,136,64,130,75,55"
"2021,""62 Kloten"",""Secteur économique - total"",1546,35226,14155,21071,29261,10214,19047"
"2021,""62 Kloten"",""Secteur primaire"",18,51,17,34,35,8,27"
"2021,""62 Kloten"",""Secteur secondaire"",139,3816,545,3271,3571,419,3152"
"2021,""62 Kloten"",""Secteur tertiaire"",1389,31359,13593,17766,25655,9788,15868"
"2021,""63 Lufingen"",""Secteur économique - total"",126,498,211,287,370,133,237"
"2021,""63 Lufingen"",""Secteur primaire"",7,18,X,X,10,X,X"
"2021,""63 Lufingen"",""Secteur secondaire"",24,139,X,X,124,X,X"
"2021,""63 Lufingen"",""Secteur tertiaire"",95,341,174,167,236,110,126"
"2021,""64 Nürensdorf"",""Secteur économique - total"",303,1147,577,570,783,302,481"
"2021,""64 Nürensdorf"",""Secteur primaire"",18,46,15,31,26,6,20"
"2021,""64 Nürensdorf"",""Secteur secondaire"",46,216,41,175,190,28,163"
"2021,""64 Nürensdorf"",""Secteur tertiaire"",239,885,521,364,567,268,299"
"2021,""65 Oberembrach"",""Secteur économique - total"",91,254,117,137,162,60,102"
"2021,""65 Oberembrach"",""Secteur primaire"",35,81,X,X,51,X,X"
"2021,""65 Oberembrach"",""Secteur secondaire"",10,36,X,X,29,X,X"
"2021,""65 Oberembrach"",""Secteur tertiaire"",46,137,87,50,82,46,35"
"2021,""66 Opfikon"",""Secteur économique - total"",1534,24028,9511,14517,19944,6939,13005"
"2021,""66 Opfikon"",""Secteur primaire"",5,10,X,X,6,X,X"
"2021,""66 Opfikon"",""Secteur secondaire"",187,3081,X,X,2878,X,X"
"2021,""66 Opfikon"",""Secteur tertiaire"",1342,20937,8972,11965,17060,6515,10545"
"2021,""67 Rafz"",""Secteur économique - total"",252,1618,720,898,1227,439,789"
"2021,""67 Rafz"",""Secteur primaire"",27,237,99,138,191,74,117"
"2021,""67 Rafz"",""Secteur secondaire"",43,511,84,427,460,52,408"
"2021,""67 Rafz"",""Secteur tertiaire"",182,870,537,333,577,312,265"
"2021,""68 Rorbas"",""Secteur économique - total"",169,513,261,252,342,132,209"
"2021,""68 Rorbas"",""Secteur primaire"",6,10,X,X,7,X,X"
"2021,""68 Rorbas"",""Secteur secondaire"",37,111,X,X,93,X,X"
"2021,""68 Rorbas"",""Secteur tertiaire"",126,392,233,159,241,119,122"
"2021,""69 Wallisellen"",""Secteur économique - total"",1493,21225,8541,12684,17907,6290,11617"
"2021,""69 Wallisellen"",""Secteur primaire"",7,27,X,X,23,X,X"
"2021,""69 Wallisellen"",""Secteur secondaire"",171,2824,X,X,2632,X,X"
"2021,""69 Wallisellen"",""Secteur tertiaire"",1315,18374,8053,10321,15252,5918,9334"
"2021,""70 Wasterkingen"",""Secteur économique - total"",37,75,30,45,47,15,32"
"2021,""70 Wasterkingen"",""Secteur primaire"",8,18,X,X,10,X,X"
"2021,""70 Wasterkingen"",""Secteur secondaire"",4,12,X,X,12,X,X"
"2021,""70 Wasterkingen"",""Secteur tertiaire"",25,45,21,24,26,10,16"
"2021,""71 Wil (ZH)"",""Secteur économique - total"",124,503,163,340,393,99,294"
"2021,""71 Wil (ZH)"",""Secteur primaire"",24,73,25,48,48,14,33"
"2021,""71 Wil (ZH)"",""Secteur secondaire"",24,170,19,151,158,14,144"
"2021,""71 Wil (ZH)"",""Secteur tertiaire"",76,260,119,141,187,71,116"
