,INSEE_COM,distance_interne
214,30061,0.955859482898004
215,30041,1.15280991166393
216,30126,0.911376257518884
217,30014,1.07835493038089
218,30248,0.705949013499896
219,30086,0.864607433747949
220,34036,1.52502416759655
221,30035,1.35178944443729
222,30012,1.60464348581992
223,30089,0.815159705956631
224,34166,1.49754400385319
225,30127,0.911376257518884
226,30299,0.955859482898004
227,30334,1.44101238957992
228,30039,0.99836266923546
229,30207,1.15280991166393
230,30292,0.705949013499896
231,30336,1.07835493038089
232,30286,0.911376257518884
233,30155,1.46955005875939
234,30302,1.49754400385319
235,30135,1.32070967052383
236,30047,1.15280991166393
237,30107,0.99836266923546
238,30156,1.44101238957992
239,30166,1.18828925801234
240,30110,0.955859482898004
241,30337,0.815159705956631
242,30085,1.32070967052383
243,30328,0.955859482898004
244,30257,0.762512083798276
