,NOM_COM,INSEE_COM,x,y
203,La Capelle-et-Masmolène,30067,822729.27514221,6328773.60080121
204,Les Angles,30011,840663.407672914,6317969.63625964
205,Villeneuve-lès-Avignon,30351,843969.627450714,6321394.77829178
206,Baron,30030,802133.378226654,6329318.51359539
207,Foissac,30111,804136.108643083,6327168.04464583
208,Seynes,30320,803589.077506874,6335658.92532745
209,Bourdic,30049,807080.048356771,6320760.66854888
210,Dions,30102,803779.899386955,6314948.13424526
211,Saint-Chaptes,30241,802331.295872111,6319532.9359435
212,Vallérargues,30338,808564.092031678,6337371.71554921
213,Brouzet-lès-Alès,30055,800141.865294291,6337894.17068883
214,La Calmette,30061,801470.432309235,6314880.22052815
215,Blauzac,30041,810337.517883656,6319588.18178762
216,Garrigues-Sainte-Eulalie,30126,804716.18061521,6321936.12716699
217,Arpaillargues-et-Aureillac,30014,809463.113033529,6323237.99350942
218,Saint-Dézéry,30248,801479.567549115,6322629.232213
219,Collorgues,30086,803195.43303571,6324974.54191442
220,Le Bosc,34036,731223.718336324,6288625.90449403
221,Belvézet,30035,808571.171394852,6333354.18926712
222,Aramon,30012,835221.641237225,6313146.71654794
223,Comps,30089,828100.709499778,6306781.82940385
224,Montblanc,34166,729054.262628505,6252479.45555131
225,Gaujac,30127,825866.800384717,6332010.27304124
226,Saint-Siffret,30299,817744.866736794,6325143.62576894
227,Uzès,30334,813559.751292013,6324819.9161918
228,Bezouce,30039,820609.837235607,6309550.39556215
229,Pouzilhac,30207,826715.027368244,6327939.78558772
230,Saint-Pons-la-Calm,30292,824447.216336904,6334588.86088663
231,Vallabrègues,30336,831377.219986767,6307823.38325736
232,Saint-Maximin,30286,816793.183556743,6322091.66881788
233,Manduel,30155,819787.794199616,6301831.83444357
234,Saint-Victor-la-Coste,30302,831546.592658419,6329834.44323519
235,Jonquières-Saint-Vincent,30135,825305.670778427,6304474.2639367
236,Bouillargues,30047,815459.239150233,6301358.05991163
237,Estézargues,30107,831337.223467735,6318628.31980521
238,Marguerittes,30156,816521.265700504,6307991.31765171
239,Meynes,30166,824922.64622373,6309905.82437954
240,Flaux,30110,821137.837252081,6324942.26812187
241,Vallabrix,30337,818827.861558459,6330730.19765347
