COM,NAME,PTOT
010545489086,Neukirchen (Kreis Nordfriesland),1129
010545489088,"Niebüll, Stadt",10163
010545489109,Risum-Lindholm,3912
010545489110,Rodenäs,413
010545489124,Sprakebüll,267
010545489125,Stadum,915
010545489126,Stedesand,876
010545489131,Süderlügum,2373
010545489136,Tinningstedt,238
010545489142,Uphusum,358
010545489154,Westre,350
010545489165,Galmsbüll,574
010545489166,Emmelsbüll-Horsbüll,915
010545489167,Enge-Sande,1186
010545492007,Arlewatt,341
010545492023,Drage (Kreis Nordfriesland),651
010545492026,Elisabeth-Sophien-Koog,63
010545492032,Fresendelf,85
010545492042,Hattstedt,2605
010545492043,Hattstedtermarsch,297
010545492052,Horstedt (Kreis Nordfriesland),825
010545492054,Hude,176
010545492070,Koldenbüttel,935
010545492084,Mildstedt,3993
010545492091,Nordstrand,2258
010545492096,Oldersbek,754
010545492097,Olderup,463
010545492099,Ostenfeld (Husum),1553
010545492105,Ramstedt,432
010545492106,Rantrum,1953
010545492116,Schwabstedt,1340
010545492119,Seeth,611
010545492120,Simonsberg,837
010545492130,Süderhöft,23
010545492132,Südermarsch,142
010545492141,Uelvesbüll,303
010545492156,Winnert,722
010545492157,Wisch (Kreis Nordfriesland),111
010545492159,Wittbek,792
010545492161,Witzwort,1027
010545492162,Wobbenbüll,458
010545494002,Ahrenshöft,532
010545494006,Almdorf,544
010545494010,Bargum,664
010545494012,Bohmstedt,767
010545494014,Bordelum,2073
010545494019,"Bredstedt, Stadt",5608
010545494020,Breklum,2385
010545494024,Drelsdorf,1278
010545494037,Goldebek,374
010545494038,Goldelund,414
010545494045,Högel,470
010545494059,Joldelund,819
010545494071,Kolkerheide,75
010545494075,Langenhorn,3330
010545494080,Lütjenholm,349
010545494093,Ockholm,310
010545494121,Sönnebüll,296
010545494128,Struckum,1029
010545494146,Vollstedt,176
010550001001,Ahrensbök,8106
010550004004,"Bad Schwartau, Stadt",20108
010550007007,Bosau,3363
010550010010,Dahme,1244
010550012012,"Eutin, Stadt",17057
010550016016,Grömitz,6895
010550018018,Grube,1028
010550021021,"Heiligenhafen, Stadt",9503
010550025025,Kellenhusen (Ostsee),1143
010550028028,Malente,10763
010550032032,"Neustadt in Holstein, Stadt",15269
010550033033,"Oldenburg in Holstein, Stadt",9718
010550035035,Ratekau,15303
010550040040,Stockelsdorf,16386
010550041041,Süsel,5005
010550042042,Timmendorfer Strand,8390
010550044044,Scharbeutz,11634
010550046046,"Fehmarn, Stadt",13291
